,Sentences,Date_1,Words,Date_2,Numbers,Date_3
2844,"Such large virtue lurks in these small things when extreme political superstitions invest them , that in some royal instances even to idiot imbecility they have imparted potency .",24 june 1992,privilege,11 mar 2017,9793,february 16 1995
2845,"But when , as in the case of Nicholas the Czar , the ringed crown of geographical empire encircles an imperial brain ; then , the plebeian herds crouch abased before the tremendous centralization .",thursday january 3 2008,romance,28 may 2008,744,2/5/87
2846,"Nor , will the tragic dramatist who would depict mortal indomitableness in its fullest sweep and direct swing , ever forget a hint , incidentally so important in his art , as the one now alluded to .",thursday april 14 1988,deeply,tuesday april 16 1996,-2268,8 feb 1981
2847,"But Ahab , my Captain , still moves before me in all his Nantucket grimness and shagginess ; and in this episode touching Emperors and Kings , I must not conceal that I have only to do with a poor old whale - hunter like him ; and , therefore , all outward majestical trappings and housings are denied me .",31 march 1982,following,27.11.76,-1868,monday may 7 2001
2848,"Oh , Ahab !",2 01 99,considerably,saturday november 18 2017,3114,11 august 2015
2849,"what shall be grand in thee , it must needs be plucked at from the skies , and dived for in the deep , and featured in the unbodied air !",thursday april 9 2009,"?""--",28 05 87,9952,december 10 1974
2850,CHAPTER 34,11 october 2009,shuddering,9/4/77,4274,09 jul 1979
2851,The Cabin - Table .,monday october 9 1995,whatever,thursday december 6 1979,8557,sunday august 7 1994
2852,"It is noon ; and Dough - Boy , the steward , thrusting his pale loaf - of - bread face from the cabin - scuttle , announces dinner to his lord and master ; who , sitting in the lee quarter - boat , has just been taking an observation of the sun ; and is now mutely reckoning the latitude on the smooth , medallion - shaped tablet , reserved for that daily purpose on the upper part of his ivory leg .",12 aug 1979,decisions,friday may 28 2004,1346,18 nov 1982
2853,"From his complete inattention to the tidings , you would think that moody Ahab had not heard his menial .",11/14/93,attentions,10 august 1989,2425,sunday august 27 2006
2854,"But presently , catching hold of the mizen shrouds , he swings himself to the deck , and in an even , unexhilarated voice , saying , "" Dinner , Mr . Starbuck ,"" disappears into the cabin .",tuesday october 7 1986,annexed,13 nov 1971,1940,wednesday may 27 1998
2855,"When the last echo of his sultan ' s step has died away , and Starbuck , the first Emir , has every reason to suppose that he is seated , then Starbuck rouses from his quietude , takes a few turns along the planks , and , after a grave peep into the binnacle , says , with some touch of pleasantness , "" Dinner , Mr . Stubb ,"" and descends the scuttle .",1 march 2000,shooting,sunday november 27 1994,-1932,5 january 2002
2856,"The second Emir lounges about the rigging awhile , and then slightly shaking the main brace , to see whether it will be all right with that important rope , he likewise takes up the old burden , and with a rapid "" Dinner , Mr . Flask ,"" follows after his predecessors .",monday march 7 2016,failing,december 5 1978,-4214,thursday january 9 1992
2857,"But the third Emir , now seeing himself all alone on the quarter - deck , seems to feel relieved from some curious restraint ; for , tipping all sorts of knowing winks in all sorts of directions , and kicking off his shoes , he strikes into a sharp but noiseless squall of a hornpipe right over the Grand Turk ' s head ; and then , by a dexterous sleight , pitching his cap up into the mizentop for a shelf , he goes down rollicking so far at least as he remains visible from the deck , reversing all other processions , by bringing up the rear with music .",8 january 2011,larger,sunday november 12 2017,4922,08 dec 1994
2858,"But ere stepping into the cabin doorway below , he pauses , ships a new face altogether , and , then , independent , hilarious little Flask enters King Ahab ' s presence , in the character of Abjectus , or the Slave .",13 february 1987,reluctance,wednesday august 17 2016,-7277,february 11 2003
2859,"It is not the least among the strange things bred by the intense artificialness of sea - usages , that while in the open air of the deck some officers will , upon provocation , bear themselves boldly and defyingly enough towards their commander ; yet , ten to one , let those very officers the next moment go down to their customary dinner in that same commander ' s cabin , and straightway their inoffensive , not to say deprecatory and humble air towards him , as he sits at the head of the table ; this is marvellous , sometimes most comical .",7 sep 1981,speak,april 10 2012,1906,march 22 1994
2860,Wherefore this difference ?,9 12 19,Charlotte,jun 16 1999,5809,11 jul 1995
2861,A problem ?,17.05.83,wooded,wednesday june 25 1980,2424,7/12/02
2862,Perhaps not .,30 08 91,vouchsafed,august 1 1994,-7380,thursday april 26 2012
2863,"To have been Belshazzar , King of Babylon ; and to have been Belshazzar , not haughtily but courteously , therein certainly must have been some touch of mundane grandeur .",sunday july 19 2015,author,thursday may 26 1994,432,november 1 1980
2864,"But he who in the rightly regal and intelligent spirit presides over his own private dinner - table of invited guests , that man ' s unchallenged power and dominion of individual influence for the time ; that man ' s royalty of state transcends Belshazzar ' s , for Belshazzar was not the greatest .",20 may 2009,contained,thursday april 29 1976,1659,monday july 3 2000
2865,"Who has but once dined his friends , has tasted what it is to be Caesar .",12/28/12,obliged,april 18 1999,-6544,saturday september 10 1988
2866,It is a witchery of social czarship which there is no withstanding .,7/18/82,poorly,wednesday january 24 1996,-4690,sunday february 4 1990
2867,"Now , if to this consideration you superadd the official supremacy of a ship - master , then , by inference , you will derive the cause of that peculiarity of sea - life just mentioned .",3 jan 1972,sincerity,november 3 2008,-9754,march 5 1997
2868,"Over his ivory - inlaid table , Ahab presided like a mute , maned sea - lion on the white coral beach , surrounded by his warlike but still deferential cubs .",tuesday november 27 2012,me,22 aug 2009,-8122,5 jul 2004
2869,"In his own proper turn , each officer waited to be served .",saturday july 12 2014,lowering,wednesday march 3 2010,2859,thursday august 20 2015
2870,"They were as little children before Ahab ; and yet , in Ahab , there seemed not to lurk the smallest social arrogance .",27 november 2014,bring,thursday march 21 1974,6640,4 apr 1990
2871,"With one mind , their intent eyes all fastened upon the old man ' s knife , as he carved the chief dish before him .",february 6 2007,disadvantage,jan 28 1982,-1259,saturday november 8 2008
2872,"I do not suppose that for the world they would have profaned that moment with the slightest observation , even upon so neutral a topic as the weather .",sunday april 25 1982,anxiety,march 5 1982,69,26 aug 2016
2873,No !,sunday march 9 1997,amiably,wednesday august 5 2020,-9601,thursday august 25 1983
2874,"And when reaching out his knife and fork , between which the slice of beef was locked , Ahab thereby motioned Starbuck ' s plate towards him , the mate received his meat as though receiving alms ; and cut it tenderly ; and a little started if , perchance , the knife grazed against the plate ; and chewed it noiselessly ; and swallowed it , not without circumspection .",sunday april 29 2001,steady,sunday may 29 1994,-7546,19 nov 1999
2875,"For , like the Coronation banquet at Frankfort , where the German Emperor profoundly dines with the seven Imperial Electors , so these cabin meals were somehow solemn meals , eaten in awful silence ; and yet at table old Ahab forbade not conversation ; only he himself was dumb .",26 jan 1975,endeavors,wednesday may 28 2003,1357,tuesday february 25 1986
2876,"What a relief it was to choking Stubb , when a rat made a sudden racket in the hold below .",8/23/94,torment,tuesday july 28 2015,99,30 march 2016
2877,"And poor little Flask , he was the youngest son , and little boy of this weary family party .",11/29/04,regulated,friday august 7 1970,-71,10 jul 2007
2878,His were the shinbones of the saline beef ; his would have been the drumsticks .,wednesday march 4 1987,misinformed,27 jan 2011,-9192,saturday december 16 2006
2879,"For Flask to have presumed to help himself , this must have seemed to him tantamount to larceny in the first degree .",12.12.70,Against,2 august 1973,-6624,18 feb 2000
2880,"Had he helped himself at that table , doubtless , never more would he have been able to hold his head up in this honest world ; nevertheless , strange to say , Ahab never forbade him .",saturday january 15 1972,barouches,september 10 1971,9331,tuesday march 5 1991
2881,"And had Flask helped himself , the chances were Ahab had never so much as noticed it .",02.09.08,satisfaction,friday january 21 1994,-6579,saturday february 24 1973
2882,"Least of all , did Flask presume to help himself to butter .",saturday may 5 1979,prevail,january 27 2016,-5923,15 jul 1987
2883,"Whether he thought the owners of the ship denied it to him , on account of its clotting his clear , sunny complexion ; or whether he deemed that , on so long a voyage in such marketless waters , butter was at a premium , and therefore was not for him , a subaltern ; however it was , Flask , alas !",30 mar 1999,unconquerable,sunday may 12 1985,6922,january 15 2010
2884,was a butterless man !,21 jul 1970,odious,05 aug 2000,-8920,monday november 21 1977
2885,Another thing .,monday may 9 1994,Poor,saturday november 13 1982,-9923,saturday september 3 2005
2886,"Flask was the last person down at the dinner , and Flask is the first man up .",wednesday february 25 1998,extravagance,28 january 2010,310,may 17 2011
2887,Consider !,15 05 87,delightful,2 march 1985,9439,december 2 2010
2888,For hereby Flask ' s dinner was badly jammed in point of time .,monday july 11 1983,independently,monday november 13 1972,1421,october 16 1987
2889,Starbuck and Stubb both had the start of him ; and yet they also have the privilege of lounging in the rear .,14 sep 1973,calculated,29 mar 1979,6909,15 feb 1996
2890,"If Stubb even , who is but a peg higher than Flask , happens to have but a small appetite , and soon shows symptoms of concluding his repast , then Flask must bestir himself , he will not get more than three mouthfuls that day ; for it is against holy usage for Stubb to precede Flask to the deck .",monday march 25 2019,impossibility,sunday july 1 2012,-2747,6 february 1974
2891,"Therefore it was that Flask once admitted in private , that ever since he had arisen to the dignity of an officer , from that moment he had never known what it was to be otherwise than hungry , more or less .",12 may 2003,besides,monday april 5 1999,-2560,tuesday march 18 1980
2892,"For what he ate did not so much relieve his hunger , as keep it immortal in him .",7/17/94,genial,16 september 1982,7308,july 30 1981
2893,"Peace and satisfaction , thought Flask , have for ever departed from my stomach .",wednesday may 15 2013,complaint,friday march 16 1973,1325,26 feb 1970
2894,"I am an officer ; but , how I wish I could fish a bit of old - fashioned beef in the forecastle , as I used to when I was before the mast .",april 16 2003,sent,friday march 19 2004,-5076,28 may 1996
2895,There ' s the fruits of promotion now ; there ' s the vanity of glory : there ' s the insanity of life !,thursday march 11 1993,all,friday march 31 1995,2410,8 jun 2002
2896,"Besides , if it were so that any mere sailor of the Pequod had a grudge against Flask in Flask ' s official capacity , all that sailor had to do , in order to obtain ample vengeance , was to go aft at dinner - time , and get a peep at Flask through the cabin sky - light , sitting silly and dumfoundered before awful Ahab .",wednesday november 13 2002,something,21 sep 1977,-9692,thursday february 19 2004
2897,"Now , Ahab and his three mates formed what may be called the first table in the Pequod ' s cabin .",tuesday october 2 1979,wit,may 13 1992,-8365,1 may 1978
2898,"After their departure , taking place in inverted order to their arrival , the canvas cloth was cleared , or rather was restored to some hurried order by the pallid steward .",saturday november 3 1984,spoke,saturday february 12 2005,-2132,tuesday january 22 2002
2899,"And then the three harpooneers were bidden to the feast , they being its residuary legatees .",thursday may 25 1989,c,17 02 02,7892,monday june 17 2002
2900,They made a sort of temporary servants ' hall of the high and mighty cabin .,04.05.95,seal,wednesday july 26 2017,-4217,27 mar 1984
2901,"In strange contrast to the hardly tolerable constraint and nameless invisible domineerings of the captain ' s table , was the entire care - free license and ease , the almost frantic democracy of those inferior fellows the harpooneers .",thursday april 6 1978,motherly,saturday september 6 2003,-1776,29 oct 2007
2902,"While their masters , the mates , seemed afraid of the sound of the hinges of their own jaws , the harpooneers chewed their food with such a relish that there was a report to it .",march 20 1974,indifference,19 december 1994,3527,wednesday october 5 1994
2903,They dined like lords ; they filled their bellies like Indian ships all day loading with spices .,wednesday august 21 2002,raptures,thursday september 22 2011,-8485,01 nov 1972
2904,"Such portentous appetites had Queequeg and Tashtego , that to fill out the vacancies made by the previous repast , often the pale Dough - Boy was fain to bring on a great baron of salt - junk , seemingly quarried out of the solid ox .",10 05 81,rid,october 24 2009,-7636,april 10 1974
2905,"And if he were not lively about it , if he did not go with a nimble hop - skip - and - jump , then Tashtego had an ungentlemanly way of accelerating him by darting a fork at his back , harpoon - wise .",wednesday may 9 1990,withdrew,02 jun 1984,-8720,1/7/04
2906,"And once Daggoo , seized with a sudden humor , assisted Dough - Boy ' s memory by snatching him up bodily , and thrusting his head into a great empty wooden trencher , while Tashtego , knife in hand , began laying out the circle preliminary to scalping him .",thursday january 30 2003,answered,monday october 2 2000,5089,sunday january 20 2013
2907,"He was naturally a very nervous , shuddering sort of little fellow , this bread - faced steward ; the progeny of a bankrupt baker and a hospital nurse .",sunday october 27 2019,private,13 11 15,-8710,monday november 24 2014
2908,"And what with the standing spectacle of the black terrific Ahab , and the periodical tumultuous visitations of these three savages , Dough - Boy ' s whole life was one continual lip - quiver .",wednesday august 14 2013,inhabiting,tuesday november 11 1986,7031,11 jan 2017
2909,"Commonly , after seeing the harpooneers furnished with all things they demanded , he would escape from their clutches into his little pantry adjoining , and fearfully peep out at them through the blinds of its door , till all was over .",wednesday november 18 1992,disobedient,saturday january 25 1992,-1248,january 8 1971
2910,"It was a sight to see Queequeg seated over against Tashtego , opposing his filed teeth to the Indian ' s : crosswise to them , Daggoo seated on the floor , for a bench would have brought his hearse - plumed head to the low carlines ; at every motion of his colossal limbs , making the low cabin framework to shake , as when an African elephant goes passenger in a ship .",wednesday august 24 1983,desperately,monday may 30 1994,7233,11 may 1986
2911,"But for all this , the great negro was wonderfully abstemious , not to say dainty .",friday june 19 1981,education,monday november 8 2004,-3578,sunday august 3 1986
2912,"It seemed hardly possible that by such comparatively small mouthfuls he could keep up the vitality diffused through so broad , baronial , and superb a person .",5 11 90,plainly,04 oct 2017,-3555,friday january 15 2010
2913,"But , doubtless , this noble savage fed strong and drank deep of the abounding element of air ; and through his dilated nostrils snuffed in the sublime life of the worlds .",29 jun 1985,Before,august 26 1974,3334,august 11 2010
2914,"Not by beef or by bread , are giants made or nourished .",friday december 26 2014,nearer,06.11.95,8824,thursday october 27 1983
2915,"But Queequeg , he had a mortal , barbaric smack of the lip in eating -- an ugly sound enough -- so much so , that the trembling Dough - Boy almost looked to see whether any marks of teeth lurked in his own lean arms .",wednesday january 18 2012,alleged,saturday december 23 1995,1603,tuesday november 25 1975
2916,"And when he would hear Tashtego singing out for him to produce himself , that his bones might be picked , the simple - witted steward all but shattered the crockery hanging round him in the pantry , by his sudden fits of the palsy .",september 26 2016,eclat,march 13 1985,-8240,march 19 2014
2917,"Nor did the whetstone which the harpooneers carried in their pockets , for their lances and other weapons ; and with which whetstones , at dinner , they would ostentatiously sharpen their knives ; that grating sound did not at all tend to tranquillize poor Dough - Boy .",10 dec 1993,pieces,12 apr 1998,7541,thursday february 28 2013
2918,"How could he forget that in his Island days , Queequeg , for one , must certainly have been guilty of some murderous , convivial indiscretions .",wednesday august 18 2004,requested,4/18/98,5597,11 jul 1977
2919,Alas !,sunday april 19 2015,minutely,29 oct 1989,3975,friday july 23 2010
2920,Dough - Boy !,23 aug 2020,DRAW,monday january 9 1995,-5563,feb 18 1977
2921,hard fares the white waiter who waits upon cannibals .,may 13 2001,indignity,nov 5 2016,-8101,22 oct 1989
2922,"Not a napkin should he carry on his arm , but a buckler .",16 dec 1999,truths,3/6/88,-6484,monday september 20 1993
2923,"In good time , though , to his great delight , the three salt - sea warriors would rise and depart ; to his credulous , fable - mongering ears , all their martial bones jingling in them at every step , like Moorish scimetars in scabbards .",monday may 31 1993,Who,saturday march 28 1981,8210,tuesday december 5 2017
2924,"But , though these barbarians dined in the cabin , and nominally lived there ; still , being anything but sedentary in their habits , they were scarcely ever in it except at mealtimes , and just before sleeping - time , when they passed through it to their own peculiar quarters .",tuesday november 25 1980,obtaining,2 03 05,681,5 november 1976
2925,"In this one matter , Ahab seemed no exception to most American whale captains , who , as a set , rather incline to the opinion that by rights the ship ' s cabin belongs to them ; and that it is by courtesy alone that anybody else is , at any time , permitted there .",friday february 27 2004,reckons,18 july 1989,6958,july 8 2007
2926,"So that , in real truth , the mates and harpooneers of the Pequod might more properly be said to have lived out of the cabin than in it .",wednesday april 15 1992,advance,friday august 14 2015,5011,12 july 2003
2927,"For when they did enter it , it was something as a street - door enters a house ; turning inwards for a moment , only to be turned out the next ; and , as a permanent thing , residing in the open air .",august 9 1990,from,1 november 2006,-6308,friday october 17 2008
2928,"Nor did they lose much hereby ; in the cabin was no companionship ; socially , Ahab was inaccessible .",15 mar 1994,Restless,19 february 2016,2397,2 06 81
2929,"Though nominally included in the census of Christendom , he was still an alien to it .",6 january 1990,perhaps,monday february 10 2020,-8612,1/29/73
2930,"He lived in the world , as the last of the Grisly Bears lived in settled Missouri .",nov 10 2015,unpromising,wednesday may 20 1998,-5470,9/24/07
2931,"And as when Spring and Summer had departed , that wild Logan of the woods , burying himself in the hollow of a tree , lived out the winter there , sucking his own paws ; so , in his inclement , howling old age , Ahab ' s soul , shut up in the caved trunk of his body , there fed upon the sullen paws of its gloom !",11 september 2007,quite,sunday december 6 2009,-9078,23 feb 1985
2932,CHAPTER 35,22 october 1990,END,sunday october 30 1983,-9188,wednesday march 28 2007
2933,The Mast - Head .,6 may 2013,atoned,february 1 1974,-8927,20 may 1990
2934,"It was during the more pleasant weather , that in due rotation with the other seamen my first mast - head came round .",may 29 1996,comer,25 nov 1981,8619,november 19 2018
2935,"In most American whalemen the mast - heads are manned almost simultaneously with the vessel ' s leaving her port ; even though she may have fifteen thousand miles , and more , to sail ere reaching her proper cruising ground .",monday may 31 2010,Esteem,sunday july 24 2005,2193,11.06.04
2936,"And if , after a three , four , or five years ' voyage she is drawing nigh home with anything empty in her -- say , an empty vial even -- then , her mast - heads are kept manned to the last ; and not till her skysail - poles sail in among the spires of the port , does she altogether relinquish the hope of capturing one whale more .",16 july 1976,philanthropic,monday june 1 2020,891,wednesday january 24 1990
2937,"Now , as the business of standing mast - heads , ashore or afloat , is a very ancient and interesting one , let us in some measure expatiate here .",01 oct 1982,Which,20 jun 1971,4131,14 jul 2014
2938,"I take it , that the earliest standers of mast - heads were the old Egyptians ; because , in all my researches , I find none prior to them .",15 jul 2019,cherishing,05.05.73,3108,13 february 1983
2939,"For though their progenitors , the builders of Babel , must doubtless , by their tower , have intended to rear the loftiest mast - head in all Asia , or Africa either ; yet ( ere the final truck was put to it ) as that great stone mast of theirs may be said to have gone by the board , in the dread gale of God ' s wrath ; therefore , we cannot give these Babel builders priority over the Egyptians .",monday july 27 1970,contradict,28 04 16,9692,22 dec 2016
2940,"And that the Egyptians were a nation of mast - head standers , is an assertion based upon the general belief among archaeologists , that the first pyramids were founded for astronomical purposes : a theory singularly supported by the peculiar stair - like formation of all four sides of those edifices ; whereby , with prodigious long upliftings of their legs , those old astronomers were wont to mount to the apex , and sing out for new stars ; even as the look - outs of a modern ship sing out for a sail , or a whale just bearing in sight .",22 june 2001,lay,30 sep 1980,-4695,26 march 2010
2941,"In Saint Stylites , the famous Christian hermit of old times , who built him a lofty stone pillar in the desert and spent the whole latter portion of his life on its summit , hoisting his food from the ground with a tackle ; in him we have a remarkable instance of a dauntless stander - of - mast - heads ; who was not to be driven from his place by fogs or frosts , rain , hail , or sleet ; but valiantly facing everything out to the last , literally died at his post .",wednesday november 18 1981,weight,5 november 1990,-9962,11 apr 2003
2942,"Of modern standers - of - mast - heads we have but a lifeless set ; mere stone , iron , and bronze men ; who , though well capable of facing out a stiff gale , are still entirely incompetent to the business of singing out upon discovering any strange sight .",08 oct 2016,disappointments,friday august 10 2018,-7053,november 8 1980
2943,"There is Napoleon ; who , upon the top of the column of Vendome , stands with arms folded , some one hundred and fifty feet in the air ; careless , now , who rules the decks below ; whether Louis Philippe , Louis Blanc , or Louis the Devil .",thursday february 22 1979,condescend,september 27 2013,-2085,september 6 1973
2944,"Great Washington , too , stands high aloft on his towering main - mast in Baltimore , and like one of Hercules ' pillars , his column marks that point of human grandeur beyond which few mortals will go .",2 oct 1984,40,monday april 21 2014,-5217,7 05 92
2945,"Admiral Nelson , also , on a capstan of gun - metal , stands his mast - head in Trafalgar Square ; and ever when most obscured by that London smoke , token is yet given that a hidden hero is there ; for where there is smoke , must be fire .",friday november 4 2011,Wait,9 11 16,-8090,august 28 1975
2946,"But neither great Washington , nor Napoleon , nor Nelson , will answer a single hail from below , however madly invoked to befriend by their counsels the distracted decks upon which they gaze ; however it may be surmised , that their spirits penetrate through the thick haze of the future , and descry what shoals and what rocks must be shunned .",3/21/92,usually,tuesday december 1 2009,-6596,monday october 14 1996
2947,"It may seem unwarrantable to couple in any respect the mast - head standers of the land with those of the sea ; but that in truth it is not so , is plainly evinced by an item for which Obed Macy , the sole historian of Nantucket , stands accountable .",september 10 1974,nearest,7 may 2019,2533,saturday april 25 2020
2948,"The worthy Obed tells us , that in the early times of the whale fishery , ere ships were regularly launched in pursuit of the game , the people of that island erected lofty spars along the sea - coast , to which the look - outs ascended by means of nailed cleats , something as fowls go upstairs in a hen - house .",25 april 1991,insincere,6 june 2003,9292,2 oct 2013
2949,"A few years ago this same plan was adopted by the Bay whalemen of New Zealand , who , upon descrying the game , gave notice to the ready - manned boats nigh the beach .",2 september 1991,shewing,monday july 5 1971,-6537,tuesday may 24 1977
2950,"But this custom has now become obsolete ; turn we then to the one proper mast - head , that of a whale - ship at sea .",monday may 17 2004,discrimination,sunday december 31 2000,7744,08.09.01
2951,"The three mast - heads are kept manned from sun - rise to sun - set ; the seamen taking their regular turns ( as at the helm ), and relieving each other every two hours .",01.10.19,proprietor,wednesday august 26 1998,4576,saturday may 10 2003
2952,"In the serene weather of the tropics it is exceedingly pleasant the mast - head ; nay , to a dreamy meditative man it is delightful .",saturday march 18 1989,procured,4 07 17,-595,14 mar 2013
2953,"There you stand , a hundred feet above the silent decks , striding along the deep , as if the masts were gigantic stilts , while beneath you and between your legs , as it were , swim the hugest monsters of the sea , even as ships once sailed between the boots of the famous Colossus at old Rhodes .",6 dec 1985,perfect,friday june 13 1997,-5994,friday december 1 1978
2954,"There you stand , lost in the infinite series of the sea , with nothing ruffled but the waves .",tuesday december 23 2003,dream,friday july 5 1991,-7720,tuesday may 25 1976
2955,The tranced ship indolently rolls ; the drowsy trade winds blow ; everything resolves you into languor .,8 july 1989,wicked,sunday april 7 1996,5844,wednesday january 3 2001
2956,"For the most part , in this tropic whaling life , a sublime uneventfulness invests you ; you hear no news ; read no gazettes ; extras with startling accounts of commonplaces never delude you into unnecessary excitements ; you hear of no domestic afflictions ; bankrupt securities ; fall of stocks ; are never troubled with the thought of what you shall have for dinner -- for all your meals for three years and more are snugly stowed in casks , and your bill of fare is immutable .",wednesday january 2 1991,fainter,26 11 17,7341,tuesday august 1 2017
2957,"In one of those southern whalesmen , on a long three or four years ' voyage , as often happens , the sum of the various hours you spend at the mast - head would amount to several entire months .",april 3 1998,practise,wednesday march 22 2006,-8922,friday january 17 1975
2958,"And it is much to be deplored that the place to which you devote so considerable a portion of the whole term of your natural life , should be so sadly destitute of anything approaching to a cosy inhabitiveness , or adapted to breed a comfortable localness of feeling , such as pertains to a bed , a hammock , a hearse , a sentry box , a pulpit , a coach , or any other of those small and snug contrivances in which men temporarily isolate themselves .",23 02 84,intercourse,june 24 1999,-1659,wednesday april 16 1997
2959,"Your most usual point of perch is the head of the t ' gallant - mast , where you stand upon two thin parallel sticks ( almost peculiar to whalemen ) called the t ' gallant cross - trees .",april 22 1975,reclining,17 12 87,7987,8 11 86
2960,"Here , tossed about by the sea , the beginner feels about as cosy as he would standing on a bull ' s horns .",november 30 2010,foresee,5 november 2004,-9712,1/12/01
2961,"To be sure , in cold weather you may carry your house aloft with you , in the shape of a watch - coat ; but properly speaking the thickest watch - coat is no more of a house than the unclad body ; for as the soul is glued inside of its fleshy tabernacle , and cannot freely move about in it , nor even move out of it , without running great risk of perishing ( like an ignorant pilgrim crossing the snowy Alps in winter ); so a watch - coat is not so much of a house as it is a mere envelope , or additional skin encasing you .",31 mar 1993,Concern,28 aug 1984,-525,6 oct 1977
2962,"You cannot put a shelf or chest of drawers in your body , and no more can you make a convenient closet of your watch - coat .",8 mar 2019,become,friday april 21 2000,-5107,26 07 88
2963,"Concerning all this , it is much to be deplored that the mast - heads of a southern whale ship are unprovided with those enviable little tents or pulpits , called CROW ' S - NESTS , in which the look - outs of a Greenland whaler are protected from the inclement weather of the frozen seas .",17 february 2016,penetration,10 feb 1979,-9032,wednesday december 20 2000
2964,"In the fireside narrative of Captain Sleet , entitled "" A Voyage among the Icebergs , in quest of the Greenland Whale , and incidentally for the re - discovery of the Lost Icelandic Colonies of Old Greenland ;"" in this admirable volume , all standers of mast - heads are furnished with a charmingly circumstantial account of the then recently invented CROW ' S - NEST of the Glacier , which was the name of Captain Sleet ' s good craft .",friday february 10 2006,learning,wednesday january 19 2005,-9229,28.03.07
2965,"He called it the SLEET ' S CROW ' S - NEST , in honour of himself ; he being the original inventor and patentee , and free from all ridiculous false delicacy , and holding that if we call our own children after our own names ( we fathers being the original inventors and patentees ), so likewise should we denominate after ourselves any other apparatus we may beget .",thursday july 4 1991,impatience,11 aug 2012,8675,12 may 2012
2966,"In shape , the Sleet ' s crow ' s - nest is something like a large tierce or pipe ; it is open above , however , where it is furnished with a movable side - screen to keep to windward of your head in a hard gale .",4 aug 2002,comprise,15 november 2003,5172,wednesday september 27 1995
2967,"Being fixed on the summit of the mast , you ascend into it through a little trap - hatch in the bottom .",21 08 18,duly,8 february 2010,-1228,3 january 1995
2968,"On the after side , or side next the stern of the ship , is a comfortable seat , with a locker underneath for umbrellas , comforters , and coats .",14 march 1980,receiving,april 20 2007,-9217,wednesday january 9 2002
2969,"In front is a leather rack , in which to keep your speaking trumpet , pipe , telescope , and other nautical conveniences .",07.02.05,unsuitableness,october 18 2001,-3025,friday october 21 2016
2970,"When Captain Sleet in person stood his mast - head in this crow ' s - nest of his , he tells us that he always had a rifle with him ( also fixed in the rack ), together with a powder flask and shot , for the purpose of popping off the stray narwhales , or vagrant sea unicorns infesting those waters ; for you cannot successfully shoot at them from the deck owing to the resistance of the water , but to shoot down upon them is a very different thing .",21 may 2012,partly,thursday april 21 1983,-932,february 20 2019
2971,"Now , it was plainly a labor of love for Captain Sleet to describe , as he does , all the little detailed conveniences of his crow ' s - nest ; but though he so enlarges upon many of these , and though he treats us to a very scientific account of his experiments in this crow ' s - nest , with a small compass he kept there for the purpose of counteracting the errors resulting from what is called the "" local attraction "" of all binnacle magnets ; an error ascribable to the horizontal vicinity of the iron in the ship ' s planks , and in the Glacier ' s case , perhaps , to there having been so many broken - down blacksmiths among her crew ; I say , that though the Captain is very discreet and scientific here , yet , for all his learned "" binnacle deviations ,"" "" azimuth compass observations ,"" and "" approximate errors ,"" he knows very well , Captain Sleet , that he was not so much immersed in those profound magnetic meditations , as to fail being attracted occasionally towards that well replenished little case - bottle , so nicely tucked in on one side of his crow ' s nest , within easy reach of his hand .",25 june 1998,house,thursday november 6 1997,3685,saturday september 10 1988
2972,"Though , upon the whole , I greatly admire and even love the brave , the honest , and learned Captain ; yet I take it very ill of him that he should so utterly ignore that case - bottle , seeing what a faithful friend and comforter it must have been , while with mittened fingers and hooded head he was studying the mathematics aloft there in that bird ' s nest within three or four perches of the pole .",25 september 1971,inspiring,3/23/94,5391,1 october 2019
2973,But if we Southern whale - fishers are not so snugly housed aloft as Captain Sleet and his Greenlandmen were ; yet that disadvantage is greatly counter - balanced by the widely contrasting serenity of those seductive seas in which we South fishers mostly float .,15.02.98,calculation,27 10 73,-4237,31 dec 1987
2974,"For one , I used to lounge up the rigging very leisurely , resting in the top to have a chat with Queequeg , or any one else off duty whom I might find there ; then ascending a little way further , and throwing a lazy leg over the top - sail yard , take a preliminary view of the watery pastures , and so at last mount to my ultimate destination .",sunday july 14 2019,shut,may 2 1986,-5347,tuesday may 8 1984
2975,"Let me make a clean breast of it here , and frankly admit that I kept but sorry guard .",october 1 1973,incautiousness,monday may 25 1987,-7712,saturday september 5 1987
2976,"With the problem of the universe revolving in me , how could I -- being left completely to myself at such a thought - engendering altitude -- how could I but lightly hold my obligations to observe all whale - ships ' standing orders , "" Keep your weather eye open , and sing out every time .""",march 10 2003,One,26 jun 2001,-9660,tuesday june 7 1988
2977,"And let me in this place movingly admonish you , ye ship - owners of Nantucket !",1 may 2016,sufferer,30 december 1987,6302,31 jul 1983
2978,Beware of enlisting in your vigilant fisheries any lad with lean brow and hollow eye ; given to unseasonable meditativeness ; and who offers to ship with the Phaedon instead of Bowditch in his head .,thursday october 24 2013,offence,november 21 1997,8331,sunday april 3 1994
2979,"Beware of such an one , I say ; your whales must be seen before they can be killed ; and this sunken - eyed young Platonist will tow you ten wakes round the world , and never make you one pint of sperm the richer .",17 10 77,Margaret,27 feb 1987,9066,oct 19 1973
2980,Nor are these monitions at all unneeded .,26 feb 1984,HERS,29.03.81,-7919,november 15 1991
